Train,Test,Accuracy
news,editorial,0.9155736640477891
news,fiction,0.901033757738582
news,government,0.9198910392629462
news,hobbies,0.9003218167466148
news,humor,0.9016824153030653
news,learned,0.9047105911330049
news,lore,0.9109420756307854
news,mystery,0.9075547936818905
news,news,0.9781808779362333
news,religion,0.909718520774639
news,reviews,0.9030070754716981
news,romance,0.9022450087115478
news,science_fiction,0.9075328265376641
religion,adventure,0.8628104179285282
religion,belles_lettres,0.8921869945001618
religion,editorial,0.8893740666190507
religion,fiction,0.8764017054082467
religion,government,0.88627579616926
religion,hobbies,0.8728277369603498
religion,humor,0.8788200046093569
religion,learned,0.8831423733286418
religion,lore,0.8879500267454827
religion,mystery,0.8731480347740909
religion,news,0.8922171171708734
religion,religion,0.9760907637249676
religion,reviews,0.8830827437106918
religion,romance,0.8706692182456942
religion,science_fiction,0.8826537664132689
reviews,adventure,0.8708430676934614
reviews,belles_lettres,0.8921812173591533
reviews,editorial,0.8880267515096423
reviews,fiction,0.8798767667328583
reviews,government,0.8869461043684128
reviews,hobbies,0.8805513388791062
reviews,humor,0.8814473380963356
reviews,learned,0.8839615587614356
reviews,lore,0.8890470448508146
reviews,mystery,0.8801798177333869
reviews,news,0.8953398174115401
reviews,religion,0.8902256402446762
reviews,reviews,0.9799528301886793
reviews,romance,0.8831081660049699
reviews,science_fiction,0.8881824464409123
romance,adventure,0.9124196013959793
romance,belles_lettres,0.8892002125987891
romance,editorial,0.8817446919031232
romance,fiction,0.915050811821049
romance,government,0.8576094242480425
romance,hobbies,0.8717954945655474
romance,humor,0.9035261581009449
romance,learned,0.8621899190710767
romance,lore,0.887732436377483
romance,mystery,0.9206388077454565
romance,news,0.8897507806750602
romance,religion,0.8866214878550217
romance,reviews,0.8799135220125787
romance,romance,0.9708520179372198
romance,science_fiction,0.9098825155494126
science_fiction,adventure,0.8611519713881919
science_fiction,belles_lettres,0.8523940472339049
science_fiction,editorial,0.8485812609570808
science_fiction,fiction,0.8668379862165635
science_fiction,government,0.8334640672019624
science_fiction,hobbies,0.8386422976501305
science_fiction,humor,0.8622263194284397
science_fiction,learned,0.8356076266713582
science_fiction,lore,0.851213519614865
science_fiction,mystery,0.8706816631391139
science_fiction,news,0.8597668914215247
science_fiction,religion,0.850681489377903
science_fiction,reviews,0.8434797562893082
science_fiction,romance,0.8704121561794864
science_fiction,science_fiction,0.9791983413959917
